DQP,Agency,Project,HMIS ID,Project Type,Project2
,The Transition House,The Transition House-Veterans Grant Per Diem:TH,350,Transitional Housing - TH,350 - The Transition House-Veterans Grant Per Diem:TH
,Safehouse of Seminole,Safehouse of Seminole-Transitional Housing:TH,355,Transitional Housing - TH,355 - Safehouse of Seminole-Transitional Housing:TH
,Family Promise of Greater Orlando,Family Promise-ORN Shelter:ES,377,Emergency Shelter - ES,377 - Family Promise-ORN Shelter:ES
,Seminole County,Seminole County-SEM Shelter Plus Care:PSH,385,Permenant Supportive Housing - PSH,385 - Seminole County-SEM Shelter Plus Care:PSH
,Orange County,Orange County-ORN Shelter Plus Care:PSH,387,Permenant Supportive Housing - PSH,387 - Orange County-ORN Shelter Plus Care:PSH
,Orlando Union Rescue Mission,Orlando Union Rescue Mission Men's Division-Emergency Shelter:ES,393,Emergency Shelter - ES,393 - Orlando Union Rescue Mission Men's Division-Emergency Shelter:ES
,Orlando Union Rescue Mission,Orlando Union Rescue Mission Men's Division-Transitional Housing:TH,395,Transitional Housing - TH,395 - Orlando Union Rescue Mission Men's Division-Transitional Housing:TH
,Pathlight Home Grand Ave EDC,Pathlight Home Grand Ave EDC-SH at Maxwell Garden Apartments:PSH,401,Permenant Supportive Housing - PSH,401 - Pathlight Home Grand Ave EDC-SH at Maxwell Garden Apartments:PSH
,First Presbyterian Church of Orlando,First Presbyterian Church of Orlando-Compassion Corner:SSO,422,Services Only,422 - First Presbyterian Church of Orlando-Compassion Corner:SSO
,Rescue Outreach Mission,Rescue Outreach Mission-ESG Men's Shelter:ES,452,Emergency Shelter - ES,452 - Rescue Outreach Mission-ESG Men's Shelter:ES
,Rescue Outreach Mission,Rescue Outreach Mission-ESG Women's Shelter:ES,453,Emergency Shelter - ES,453 - Rescue Outreach Mission-ESG Women's Shelter:ES
,IMPOWER,IMPOWER-Transitional Housing:TH,477,Transitional Housing - TH,477 - IMPOWER-Transitional Housing:TH
,Miracle of Love,Miracle of Love-HOPWA TBRA Vouchers:PSH,489,Permenant Supportive Housing - PSH,489 - Miracle of Love-HOPWA TBRA Vouchers:PSH
,Center for Multicultural Wellness & Prevention,Center for Multicultural Wellness & Prevention-HOPWA TBRA Vouchers:PSH,497,Permenant Supportive Housing - PSH,497 - Center for Multicultural Wellness & Prevention-HOPWA TBRA Vouchers:PSH
,Aspire Health Partners,Aspire Health Partners-Anchor:TH,503,Transitional Housing - TH,503 - Aspire Health Partners-Anchor:TH
,Aspire Health Partners,Aspire Health Partners CENTAUR-HOPWA TBRA Vouchers:PSH,509,Permenant Supportive Housing - PSH,509 - Aspire Health Partners CENTAUR-HOPWA TBRA Vouchers:PSH
,Aspire Health Partners,Aspire Health Partners CENTAUR-HOPWA Long Term Housing:TH,510,Transitional Housing - TH,510 - Aspire Health Partners CENTAUR-HOPWA Long Term Housing:TH
,Aspire Health Partners,Aspire Health Partners CENTAUR-HOPWA Short Term Housing:ES,511,Emergency Shelter - ES,511 - Aspire Health Partners CENTAUR-HOPWA Short Term Housing:ES
,Center for Multicultural Wellness & Prevention,Center for Multicultural Wellness & Prevention-HOPWA Short Term Housing:ES,512,Emergency Shelter - ES,512 - Center for Multicultural Wellness & Prevention-HOPWA Short Term Housing:ES
,Center for Multicultural Wellness & Prevention,Center for Multicultural Wellness & Prevention-HOPWA Long Term Housing:TH,515,Transitional Housing - TH,515 - Center for Multicultural Wellness & Prevention-HOPWA Long Term Housing:TH
55,Aspire Health Partners,Aspire Health Partners Seminole Behavioral Health-SEM HOPE Team Street Outreach:SO,532,Street Outreach - SO,532 - Aspire Health Partners Seminole Behavioral Health-SEM HOPE Team Street Outreach:SO
,Aspire Health Partners,Aspire Health Partners Seminole Behavioral Health-PATH Street Outreach:SO,533,Street Outreach - SO,533 - Aspire Health Partners Seminole Behavioral Health-PATH Street Outreach:SO
,Aspire Health Partners,Aspire Health Partners-Veterans Grant Per Diem:TH,537,Transitional Housing - TH,537 - Aspire Health Partners-Veterans Grant Per Diem:TH
,Heart of Florida United Way,Heart of Florida United Way-Community Stewardship:SSO,560,Services Only,560 - Heart of Florida United Way-Community Stewardship:SSO
,zz-Jewish Family Services,Jewish Family Services-Supportive Services:SSO,561,Services Only,561 - Jewish Family Services-Supportive Services:SSO
,Embrace Families Solutions,Embrace Families Solutions-SEM ESG Pathways to Home:RRH,566,Rapid Re-housing - RRH,566 - Embrace Families Solutions-SEM ESG Pathways to Home:RRH
,Catholic Charities,Catholic Charities Pathways to Care-HOPWA Short Term Housing:ES,568,Emergency Shelter - ES,568 - Catholic Charities Pathways to Care-HOPWA Short Term Housing:ES
,Aspire Health Partners,Aspire Health Partners-ORN Women's Residential,571,Other,571 - Aspire Health Partners-ORN Women's Residential
,Salvation Army,Salvation Army Men's Lodge-NBN Emergency Shelter:ES,576,Emergency Shelter - ES,576 - Salvation Army Men's Lodge-NBN Emergency Shelter:ES
,Salvation Army,Salvation Army Men's Lodge-Transitional Housing:TH,577,Transitional Housing - TH,577 - Salvation Army Men's Lodge-Transitional Housing:TH
,Salvation Army,Salvation Army Women & Children's Lodge-Transitional Housing:TH,578,Transitional Housing - TH,578 - Salvation Army Women & Children's Lodge-Transitional Housing:TH
,Salvation Army,Salvation Army Women & Children's Lodge-Emergency Shelter:ES,579,Emergency Shelter - ES,579 - Salvation Army Women & Children's Lodge-Emergency Shelter:ES
,Salvation Army,Salvation Army-Supportive Services:SSO,580,Services Only,580 - Salvation Army-Supportive Services:SSO
,Pathlight Home Grand Ave EDC,Pathlight Home Grand Ave EDC-Maxwell Garden Apartments:PH-S,625,PH – Housing with Services (no disability required for entry),625 - Pathlight Home Grand Ave EDC-Maxwell Garden Apartments:PH-S
,The Christian Sharing Center,The Christian Sharing Center-Oasis Walk-In Center:SSO,639,Services Only,639 - The Christian Sharing Center-Oasis Walk-In Center:SSO
,Embrace Families Solutions,Embrace Families Solutions-Pathways to Home:PSH,642,Permenant Supportive Housing - PSH,642 - Embrace Families Solutions-Pathways to Home:PSH
,Samaritan Resource Center,Samaritan Resource Center-Drop-in Center:SSO,646,Services Only,646 - Samaritan Resource Center-Drop-in Center:SSO
,Orlando Veterans Administration,Orlando Veterans Administration-HUD VASH Vouchers:PSH,660,Permenant Supportive Housing - PSH,660 - Orlando Veterans Administration-HUD VASH Vouchers:PSH
,Health Care Center for the Homeless,Health Care Center for the Homeless-OSC SHP HOPE Team:SO,667,Street Outreach - SO,667 - Health Care Center for the Homeless-OSC SHP HOPE Team:SO
,Orlando Union Rescue Mission,Orlando Union Rescue Mission Women & Children's Division-Transitional Housing:TH,677,Transitional Housing - TH,677 - Orlando Union Rescue Mission Women & Children's Division-Transitional Housing:TH
,IDignity,Idignity-ORN Supportive Services:SSO,682,Services Only,682 - Idignity-ORN Supportive Services:SSO
,IDignity,Idignity-SEM Supportive Services:SSO,683,Services Only,683 - Idignity-SEM Supportive Services:SSO
,IDignity,Idignity-OSC Supportive Services:SSO,686,Services Only,686 - Idignity-OSC Supportive Services:SSO
,The Christian Sharing Center,The Christian Sharing Center-Longwood Facility:SSO,687,Services Only,687 - The Christian Sharing Center-Longwood Facility:SSO
,Covenant House,Covenant House-Street Outreach:SO,690,Street Outreach - SO,690 - Covenant House-Street Outreach:SO
,Covenant House,Covenant House-Drop In Center:SSO,691,Services Only,691 - Covenant House-Drop In Center:SSO
,LifeStream Behavioral Health Center,LifeStream Behavioral Health Center-Anthony House:TH,696,Transitional Housing - TH,696 - LifeStream Behavioral Health Center-Anthony House:TH
,Homeless Services Network - Support Services,Homeless Services Network-SSVF Ineligible P2,700,Services Only,700 - Homeless Services Network-SSVF Ineligible P2
,United Against Poverty,United Against Poverty-Stabilzation Services:SSO,711,Services Only,711 - United Against Poverty-Stabilzation Services:SSO
,Osceola County,Osceola County Human Services-ShelterPlus Care 1:PSH,717,Permenant Supportive Housing - PSH,717 - Osceola County Human Services-ShelterPlus Care 1:PSH
,HOPE Helps,HOPE Helps-Supportive Services:SSO,725,Services Only,725 - HOPE Helps-Supportive Services:SSO
,Park Place Behavioral Health Care,Park Place Behavioral Health Care-PATH Street Outreach:SO,734,Street Outreach - SO,734 - Park Place Behavioral Health Care-PATH Street Outreach:SO
,Community Hope Center of Osceola County,Community Hope Center-Support Services:SSO,736,Services Only,736 - Community Hope Center-Support Services:SSO
,Health Care Center for the Homeless,Health Care Center for the Homeless-ORL HOPE Team DDB:SO,737,Street Outreach - SO,737 - Health Care Center for the Homeless-ORL HOPE Team DDB:SO
,Health Care Center for the Homeless,Health Care Center for the Homeless-Mobile Medical Unit:SO,739,Street Outreach - SO,739 - Health Care Center for the Homeless-Mobile Medical Unit:SO
,Wayne Densch Center,Wayne Densch Center-PSH Housing:PSH,741,Permenant Supportive Housing - PSH,741 - Wayne Densch Center-PSH Housing:PSH
,The Transition House,The Transition House-Veterans Emergency Shelter:ES,756,Emergency Shelter - ES,756 - The Transition House-Veterans Emergency Shelter:ES
,The Christian Sharing Center,The Christian Sharing Center-SEM RRH: RRH,758,Rapid Re-housing - RRH,758 - The Christian Sharing Center-SEM RRH: RRH
,Coalition for the Homeless,Coalition for the Homeless-MSC Intensive Case Management:ES,767,Emergency Shelter - ES,767 - Coalition for the Homeless-MSC Intensive Case Management:ES
,Heart of Florida United Way,Heart of Florida United Way-CES Phone Intake:CES,775,Coordinated Entry,775 - Heart of Florida United Way-CES Phone Intake:CES
,Coalition for the Homeless,Coalition for the Homeless-After Hours Emergency Shelter: ES,784,Emergency Shelter - ES,784 - Coalition for the Homeless-After Hours Emergency Shelter: ES
,Seminole County,Seminole County Community Services-Financial Assistance:HP,786,Homelessness Prevention - HP,786 - Seminole County Community Services-Financial Assistance:HP
,Aspire Health Partners,Homeless Services Network-SSVF ORN AspireHP 2018 P2:RRH,787,Rapid Re-housing - RRH,787 - Homeless Services Network-SSVF ORN AspireHP 2018 P2:RRH
,Aspire Health Partners,Homeless Services Network-SSVF ORN AspireHP 2018 P2:HP,788,Homelessness Prevention - HP,788 - Homeless Services Network-SSVF ORN AspireHP 2018 P2:HP
,The Transition House,Homeless Services Network-SSVF TTHI 2018 P2:HP,791,Homelessness Prevention - HP,791 - Homeless Services Network-SSVF TTHI 2018 P2:HP
,The Transition House,Homeless Services Network-SSVF TTHI 2018 P2:RRH,792,Rapid Re-housing - RRH,792 - Homeless Services Network-SSVF TTHI 2018 P2:RRH
,Aspire Health Partners,Homeless Services Network-SSVF SEM AspireHP 2018 P2:HP,793,Homelessness Prevention - HP,793 - Homeless Services Network-SSVF SEM AspireHP 2018 P2:HP
,Aspire Health Partners,Homeless Services Network-SSVF SEM AspireHP 2018 P2:RRH,794,Rapid Re-housing - RRH,794 - Homeless Services Network-SSVF SEM AspireHP 2018 P2:RRH
,Pathlight Home Grand Ave EDC,Pathlight Home Grand Ave EDC-Restore Housing 1:PSH,797,Permenant Supportive Housing - PSH,797 - Pathlight Home Grand Ave EDC-Restore Housing 1:PSH
,Homeless Service Network of Central Florida,Homeless Services Network-SSVF ORL HCCH Outreach 2018:SO,807,Street Outreach - SO,807 - Homeless Services Network-SSVF ORL HCCH Outreach 2018:SO
,Covenant House,Covenant House-Individual Shelter:ES,810,Emergency Shelter - ES,810 - Covenant House-Individual Shelter:ES
,Homeless Services Network - Support Services,Homeless Services Network-Rapid Rehousing Match:CES,811,Coordinated Entry,811 - Homeless Services Network-Rapid Rehousing Match:CES
,Homeless Services Network - Support Services,Homeless Services Network-Permanent Supportive Housing Match:CES,812,Coordinated Entry,812 - Homeless Services Network-Permanent Supportive Housing Match:CES
,Family Promise of Greater Orlando,Family Promise-ORL ESG RRH Housing & Services:RRH,816,Rapid Re-housing - RRH,816 - Family Promise-ORL ESG RRH Housing & Services:RRH
,Recovery House,Recovery House-Outpatient Support Services:SSO,822,Services Only,822 - Recovery House-Outpatient Support Services:SSO
,Pathlight Home Grand Ave EDC,Pathlight Home Grand Ave EDC-Restore Housing 2:PSH,823,Permenant Supportive Housing - PSH,823 - Pathlight Home Grand Ave EDC-Restore Housing 2:PSH
,Health Care Center for the Homeless,Health Care Center for the Homeless-ORN PSH Impact Fund:SSO,824,Services Only,824 - Health Care Center for the Homeless-ORN PSH Impact Fund:SSO
,Recovery House,Recovery House-ESG Emergency Shelter:ES,832,Emergency Shelter - ES,832 - Recovery House-ESG Emergency Shelter:ES
,Health Council of East Central Florida,Health Council of East Central Florida-Healthcare Support Services:SSO,844,Services Only,844 - Health Council of East Central Florida-Healthcare Support Services:SSO
,Homeless Services Network - Support Services,Homeless Services Network-Bridge Housing:ES,850,Emergency Shelter - ES,850 - Homeless Services Network-Bridge Housing:ES
,Catholic Charities,Catholic Charities-ORN RRH Support Services:SSO,853,Services Only,853 - Catholic Charities-ORN RRH Support Services:SSO
,Homeless Services Network - Support Services,Homeless Services Network-ORL Relocation Assistance:PSH,868,Permenant Supportive Housing - PSH,868 - Homeless Services Network-ORL Relocation Assistance:PSH
,Homeless Services Network - Support Services,Homeless Services Network-ORL Rental Assistance:PSH,869,Permenant Supportive Housing - PSH,869 - Homeless Services Network-ORL Rental Assistance:PSH
,Homeless Services Network - Support Services,Homeless Services Network-ORN Housing:RRH,870,Rapid Re-housing - RRH,870 - Homeless Services Network-ORN Housing:RRH
,Family Promise of Greater Orlando,Family Promise-ORN Navigator:SSO,874,Services Only,874 - Family Promise-ORN Navigator:SSO
,Catholic Charities,Catholic Charities-Navigation Services:SSO,876,Services Only,876 - Catholic Charities-Navigation Services:SSO
,Aspire Health Partners,Aspire Health Partners-PSH Support Services:SSO,880,Services Only,880 - Aspire Health Partners-PSH Support Services:SSO
,Homeless Services Network - Support Services,Homeless Services Network-Intake UAP:CES,887,Coordinated Entry,887 - Homeless Services Network-Intake UAP:CES
,Homeless Services Network - Support Services,Homeless Services Network-HUD Rental Assistance & Services:PSH,889,Permenant Supportive Housing - PSH,889 - Homeless Services Network-HUD Rental Assistance & Services:PSH
,Homeless Services Network - Support Services,Homeless Services Network-HUD Bundle I:RRH,891,Rapid Re-housing - RRH,891 - Homeless Services Network-HUD Bundle I:RRH
,Homeless Services Network - Support Services,Homeless Services Network-HUD Bundle II:RRH,892,Rapid Re-housing - RRH,892 - Homeless Services Network-HUD Bundle II:RRH
,Homeless Services Network - Support Services,Homeless Services Network-HUD Leasing:PSH,893,Permenant Supportive Housing - PSH,893 - Homeless Services Network-HUD Leasing:PSH
,Pathway Homes of Florida,Pathway Homes of Florida-ORN PSH Impact Fund Supportive Services:SSO,897,Services Only,897 - Pathway Homes of Florida-ORN PSH Impact Fund Supportive Services:SSO
,Rescue Outreach Mission,Rescue Outreach Mission-RRH Supportive Services: SSO,899,Services Only,899 - Rescue Outreach Mission-RRH Supportive Services: SSO
,IDignity,Idignity-PSH Supportive Services:SSO,905,Services Only,905 - Idignity-PSH Supportive Services:SSO
,Health Care Center for the Homeless,Health Care Center for the Homeless-PSH Supportive Services:SSO,906,Services Only,906 - Health Care Center for the Homeless-PSH Supportive Services:SSO
,Homeless Services Network - Support Services,Homeless Services Network-HOPWA TBRA Vouchers:PSH,912,Permenant Supportive Housing - PSH,912 - Homeless Services Network-HOPWA TBRA Vouchers:PSH
,Health Care Center for the Homeless,Health Care Center for the Homeless-Family Health:SSO,914,Services Only,914 - Health Care Center for the Homeless-Family Health:SSO
,Community Hope Center of Osceola County,Community Hope Center-Street Outreach:SO,915,Street Outreach - SO,915 - Community Hope Center-Street Outreach:SO
,Aspire Health Partners,Aspire Health Partners Lakeside Behavioral Heathcare-PATH Services:SSO,919,Services Only,919 - Aspire Health Partners Lakeside Behavioral Heathcare-PATH Services:SSO
,Seminole County,Seminole County-DCF ESG:RRH,921,Rapid Re-housing - RRH,921 - Seminole County-DCF ESG:RRH
,Osceola County,Osceola County Human Services-DCF ESG:RRH,922,Rapid Re-housing - RRH,922 - Osceola County Human Services-DCF ESG:RRH
,Homeless Services Network - Support Services,Homeless Services Network-SEM Regional Big Three:CES,925,Coordinated Entry,925 - Homeless Services Network-SEM Regional Big Three:CES
,The Mustard Seed,The Mustard Seed-Supportive Services:SSO,927,Services Only,927 - The Mustard Seed-Supportive Services:SSO
,Park Place Behavioral Health Care,Park Place Behavioral Health Care-PATH Supportive Services: SSO,928,Services Only,928 - Park Place Behavioral Health Care-PATH Supportive Services: SSO
,Aspire Health Partners,Aspire Health Partners Seminole Behavioral Health-PATH Services:SSO,930,Services Only,930 - Aspire Health Partners Seminole Behavioral Health-PATH Services:SSO
,Aspire Health Partners,Aspire Health Partners-OSC Bridge Housing:ES,932,Emergency Shelter - ES,932 - Aspire Health Partners-OSC Bridge Housing:ES
,Catholic Charities,Catholic Charities Pathways to Care-HOPWA Long Term Housing:TH,933,Transitional Housing - TH,933 - Catholic Charities Pathways to Care-HOPWA Long Term Housing:TH
,Catholic Charities,Catholic Charities Pathways to Care-HOPWA Long Term Housing-Step 2:TH,934,Transitional Housing - TH,934 - Catholic Charities Pathways to Care-HOPWA Long Term Housing-Step 2:TH
,Community Legal Services of Mid-Florida,Community Legal Services of Mid-Florida-SOAR Support Services:SSO,942,Services Only,942 - Community Legal Services of Mid-Florida-SOAR Support Services:SSO
,Homeless Services Network - Support Services,Homeless Services Network-PSH TBRA Services:SSO,943,Services Only,943 - Homeless Services Network-PSH TBRA Services:SSO
,Embrace Families Solutions,Embrace Families Solutions-SEM CDBG Pathways to Home:RRH,947,Rapid Re-housing - RRH,947 - Embrace Families Solutions-SEM CDBG Pathways to Home:RRH
,Miracle of Love,Miracle of Love-HOPWA Short Term Housing:ES,948,Emergency Shelter - ES,948 - Miracle of Love-HOPWA Short Term Housing:ES
,Homeless Services Network - Support Services,Homeless Services Network-SSVF Intake: CES,949,Coordinated Entry,949 - Homeless Services Network-SSVF Intake: CES
,Pathway Homes of Florida,Pathway Homes of Florida-ORL PSH Supportive Services:SSO,951,Services Only,951 - Pathway Homes of Florida-ORL PSH Supportive Services:SSO
,Aspire Health Partners,Aspire Health Partners Seminole Behavioral Health-SEM PSH Supportive Services:SSO,952,Services Only,952 - Aspire Health Partners Seminole Behavioral Health-SEM PSH Supportive Services:SSO
,Coalition for the Homeless,Coalition for the Homeless-ORN Bridge Housing:ES,958,Emergency Shelter - ES,958 - Coalition for the Homeless-ORN Bridge Housing:ES
,Miracle of Love,Miracle of Love-ORL ESG:HP,962,Homelessness Prevention - HP,962 - Miracle of Love-ORL ESG:HP
,Recovery House,Recovery House-Veterans Emergency Shelter:ES,964,Emergency Shelter - ES,964 - Recovery House-Veterans Emergency Shelter:ES
,Coalition for the Homeless,Coalition for the Homeless-Community Health Initiative:SSO,972,Services Only,972 - Coalition for the Homeless-Community Health Initiative:SSO
,Osceola County,Osceola County Human Services-Housing Navigator Services:CES,976,Services Only,976 - Osceola County Human Services-Housing Navigator Services:CES
,The Transition House,The Transition House-SOAR Navigation:SSO,977,Services Only,977 - The Transition House-SOAR Navigation:SSO
,Heart of Florida United Way,Heart of Florida United Way-Veteran Services:SSO,978,Services Only,978 - Heart of Florida United Way-Veteran Services:SSO
,St. Francis House of Hospitality,St. Francis House:TH,980,Transitional Housing - TH,980 - St. Francis House:TH
,X-Tending Hands,X-Tending Hands:TH,982,Transitional Housing - TH,982 - X-Tending Hands:TH
,United Against Poverty,United Against Poverty-Workforce Development:SSO,983,Services Only,983 - United Against Poverty-Workforce Development:SSO
,Aspire Health Partners,Seminole Behavioral Heathcare-Forensic Services,984,Services Only,984 - Seminole Behavioral Heathcare-Forensic Services
,IMPOWER,IMPOWER-Permanency and Extended Support Services:SSO,985,Services Only,985 - IMPOWER-Permanency and Extended Support Services:SSO
,City of Orlando,City of Orlando-Orlando Housing Authority Placements PHA:PH-H,987,PH – Housing Only,987 - City of Orlando-Orlando Housing Authority Placements PHA:PH-H
,City of Orlando,City of Orlando-Pendana Housing Placements:PH,989,PH – Housing Only,989 - City of Orlando-Pendana Housing Placements:PH
,Public Defender Social Services Offices,Public Defender Social Services Offices Orange & Osceola Counties-Client Services:OTH,991,Other,991 - Public Defender Social Services Offices Orange & Osceola Counties-Client Services:OTH
,Seminole County,Seminole County-Bridge Housing:ES,993,Emergency Shelter - ES,993 - Seminole County-Bridge Housing:ES
,Health Care Center for the Homeless,Health Care Center for the Homeless-OSC PSH Impact Fund:SSO,994,Services Only,994 - Health Care Center for the Homeless-OSC PSH Impact Fund:SSO
,Health Care Center for the Homeless,Health Care Center for the Homeless-SEM PSH Impact Fund:SSO,995,Services Only,995 - Health Care Center for the Homeless-SEM PSH Impact Fund:SSO
,Pathway Homes of Florida,Pathway Homes of Florida-OSC PSH Impact Fund Supportive Services:SSO,996,Services Only,996 - Pathway Homes of Florida-OSC PSH Impact Fund Supportive Services:SSO
,Pathway Homes of Florida,Pathway Homes of Florida-SEM PSH Impact Fund Supportive Services:SSO,997,Services Only,997 - Pathway Homes of Florida-SEM PSH Impact Fund Supportive Services:SSO
,Homeless Services Network - Support Services,CES-Intake Calls-General,998,Coordinated Entry,998 - CES-Intake Calls-General
,Homeless Services Network - Support Services,Homeless Services Network-SSVF Direct Services:OT,1000,Other,1000 - Homeless Services Network-SSVF Direct Services:OT
,Wayne Densch Center,Wayne Densch Center-Case Management Services:SSO,1001,Services Only,1001 - Wayne Densch Center-Case Management Services:SSO
,Pathlight Home Grand Ave EDC,Pathlight Home Grand Ave EDC-Restore Community Services:SSO,1002,Services Only,1002 - Pathlight Home Grand Ave EDC-Restore Community Services:SSO
,Recovery House,Recovery House-EFSP Project:SSO,1007,Services Only,1007 - Recovery House-EFSP Project:SSO
,Catholic Charities,Catholic Charities-ORN ESG:RRH,1008,Rapid Re-housing - RRH,1008 - Catholic Charities-ORN ESG:RRH
,IDignity,Idignity-ORL ESG Homeless Prevention:HP,1009,Homelessness Prevention - HP,1009 - Idignity-ORL ESG Homeless Prevention:HP
,Wayne Densch Center,Wayne Densch Center-Case Management Services at Mercy Village:SSO,1010,Services Only,1010 - Wayne Densch Center-Case Management Services at Mercy Village:SSO
,Park Place Behavioral Health Care,Park Place Behavioral Health Care-PATH Referral Placeholder:OT,1014,Other,1014 - Park Place Behavioral Health Care-PATH Referral Placeholder:OT
,Aspire Health Partners,Aspire Health Partners Lakeside Behavioral Heathcare-PATH Referral Placeholder:OT,1015,Other,1015 - Aspire Health Partners Lakeside Behavioral Heathcare-PATH Referral Placeholder:OT
,Aspire Health Partners,Aspire Health Partners Seminole Behavioral Health-PATH Referral Placeholder:OT,1016,Other,1016 - Aspire Health Partners Seminole Behavioral Health-PATH Referral Placeholder:OT
,Osceola County,Osceola County-HUD ESG:RRH,1017,Rapid Re-housing - RRH,1017 - Osceola County-HUD ESG:RRH
,The Transition House,The Transition House-Veteran Case Management:SSO,1020,Services Only,1020 - The Transition House-Veteran Case Management:SSO
,Osceola County,Osceola County-HUD ESG:HP,1021,Homelessness Prevention - HP,1021 - Osceola County-HUD ESG:HP
,Pathlight Home Grand Ave EDC,Pathlight Home Grand Ave EDC-ORL CDBG Services:SSO,1022,Services Only,1022 - Pathlight Home Grand Ave EDC-ORL CDBG Services:SSO
,Simply Healthcare,Simply Healthcare-Supportive Services:SSO,1024,Services Only,1024 - Simply Healthcare-Supportive Services:SSO
,SALT Outreach Inc.,SALT Outreach-ORL ESG-CV Street Outreach:SO,1025,Street Outreach - SO,1025 - SALT Outreach-ORL ESG-CV Street Outreach:SO
,Covenant House,Covenant House-Youth Empowerment Services:SSO,1026,Services Only,1026 - Covenant House-Youth Empowerment Services:SSO
,Homeless Services Network - Support Services,Isolation And Recovery Center:ES,1029,Emergency Shelter - ES,1029 - Isolation And Recovery Center:ES
,Step Up on Second,Step Up on Second-PSH Supportive Services:SSO,1031,Services Only,1031 - Step Up on Second-PSH Supportive Services:SSO
,A Joint Vision,A Joint Vision-PSH/RRH Supportive Services:SSO,1033,Services Only,1033 - A Joint Vision-PSH/RRH Supportive Services:SSO
,Covenant House,Covenant House-Aftercare Supportive Services:SSO,1037,Services Only,1037 - Covenant House-Aftercare Supportive Services:SSO
,Block By Block,Block by Block-Downtown Orlando Ambassador:OT,1039,Other,1039 - Block by Block-Downtown Orlando Ambassador:OT
,Coalition for the Homeless,Coalition for the Homeless-ORN SHIP:RRH,1041,Rapid Re-housing - RRH,1041 - Coalition for the Homeless-ORN SHIP:RRH
,Christian Service Center of Central Florida,Christian Service Center-ORL ESG-CV Housing & Supportive Services:RRH,1042,Rapid Re-housing - RRH,1042 - Christian Service Center-ORL ESG-CV Housing & Supportive Services:RRH
,Clean the World,Clean the World-Participant Services:OT,1044,Other,1044 - Clean the World-Participant Services:OT
,Aspire Health Partners,Aspire Health Partners-ORN Care Coordination:SSO,1046,Services Only,1046 - Aspire Health Partners-ORN Care Coordination:SSO
,Embrace Families Solutions,Embrace Families Solutions-SEM ESG-CV Pathways to Home:RRH,1048,Rapid Re-housing - RRH,1048 - Embrace Families Solutions-SEM ESG-CV Pathways to Home:RRH
,Homeless Services Network - Support Services,Homeless Services Network-ORN ESG-CV Housing & Supportive Services:RRH,1049,Rapid Re-housing - RRH,1049 - Homeless Services Network-ORN ESG-CV Housing & Supportive Services:RRH
,Family Promise of Greater Orlando,Family Promise-ORL ESG-CV RRH Housing & Services:RRH,1052,Rapid Re-housing - RRH,1052 - Family Promise-ORL ESG-CV RRH Housing & Services:RRH
