DQP,Agency,Project,HMIS ID,Project Type
,Safehouse of Seminole,Safehouse of Seminole-Emergency Shelter:ES,257,Emergency Shelter - ES
,SALT Outreach Inc.,SALT Outreach-ORN ESG-CV Non Congregate Shelter:ES,1150,Emergency Shelter - ES
,Salvation Army,Salvation Army Men's Lodge-NBN Emergency Shelter:ES,576,Emergency Shelter - ES
,Salvation Army,Salvation Army Mens Lodge-Veteran Services:ES,1063,Emergency Shelter - ES
,Salvation Army,Salvation Army Women & Children's Lodge-Emergency Shelter:ES,579,Emergency Shelter - ES
,Samaritan Resource Center,Samaritan Resource Center-ORN ESG-CV Non-Congregate Shelter:ES,1149,Emergency Shelter - ES
,Seminole County,Seminole County-Bridge Housing:ES,993,Emergency Shelter - ES
,The Transition House,The Transition House-DCF ESG-CV Emergency Shelter:ES,1085,Emergency Shelter - ES
,The Transition House,The Transition House-Veterans Emergency Shelter:ES,756,Emergency Shelter - ES
,Zebra Coalition,Zebra Coalition-Youth Bridge Housing:ES,1102,Emergency Shelter - ES
,Catholic Charities,Catholic Charities-ORN ESG-CV Homelessness Prevention:HP,1122,Homelessness Prevention - HP
,Christian Service Center of Central Florida,Christian Service Center Ocoee-DCF ESG-CV Homeless Prevention:HP,1141,Homelessness Prevention - HP
,Christian Service Center of Central Florida,Christian Service Center Orlando-DCF ESG-CV Homeless Prevention:HP,1140,Homelessness Prevention - HP
,Christian Service Center of Central Florida,Christian Service Center Winter Park-DCF ESG-CV Homeless Prevention:HP,1142,Homelessness Prevention - HP
,Christian Service Center of Central Florida,Christian Service Center-ORL ESG Homelessness Prevention Services:HP,1127,Homelessness Prevention - HP
,Coalition for the Homeless,Coalition for the Homeless-ORN ESG-CV Homelessness Preventions:HP,1123,Homelessness Prevention - HP
,Community Hope Center of Osceola County,Community Hope Center-DCF ESG-CV Homeless Prevention:HP,1083,Homelessness Prevention - HP
,Family Promise of Greater Orlando,Family Promise-ORL ESG-CV Homelessness Prevention:HP,1124,Homelessness Prevention - HP
,Family Promise of Greater Orlando,Family Promise-ORN ESG Prevention Services:HP,1062,Homelessness Prevention - HP
,Homeless Services Network - Support Services,Homeless Services Network-DCF ESG-CV Homeless Prevention:HP,1084,Homelessness Prevention - HP
,Homeless Services Network - Support Services,Homeless Services Network-DCF TANF Homeless Prevention:HP,1107,Homelessness Prevention - HP
,Aspire Health Partners,Homeless Services Network-SSVF ORN AspireHP 2018 P2:HP,788,Homelessness Prevention - HP
,Aspire Health Partners,Homeless Services Network-SSVF SEM AspireHP 2018 P2:HP,793,Homelessness Prevention - HP
,The Transition House,Homeless Services Network-SSVF TTHI 2018 P2:HP,791,Homelessness Prevention - HP
,IDignity,Idignity-ORL ESG Homeless Prevention:HP,1009,Homelessness Prevention - HP
,Miracle of Love,Miracle of Love-ORL ESG:HP,962,Homelessness Prevention - HP
,Osceola County,Osceola County-HUD ESG:HP,1021,Homelessness Prevention - HP
,Seminole County,Seminole County Community Services-Financial Assistance:HP,786,Homelessness Prevention - HP
,The Christian Sharing Center,The Christian Sharing Center-SEM ESG-CV Prevention Services:HP,1110,Homelessness Prevention - HP
,Aspire Health Partners,Aspire Health Partners Lakeside Behavioral Heathcare-PATH Referral Placeholder:OT,1015,Other
,Aspire Health Partners,Aspire Health Partners Seminole Behavioral Health-PATH Referral Placeholder:OT,1016,Other
,Aspire Health Partners,Aspire Health Partners-ORN Women's Residential,571,Other
,Block By Block,Block by Block-Downtown Orlando Ambassador:OT,1039,Other
,Christian Service Center of Central Florida,Christian Service Center-Medical/Legal Advisory Services:OT,1158,Other
,Clean the World,Clean the World-Participant Services:OT,1044,Other
,Coalition for the Homeless,Coalition for the Homeless - Diversion,1166,Other
,Coalition for the Homeless,Coalition for the Homeless - Diversion Triage,1165,Other
,Homeless Services Network - Support Services,Homeless Services Network-SSVF Direct Services:OT,1000,Other
,JUMP Ministries,JUMP Inn Drop-in Center,1168,Other
,Park Place Behavioral Health Care,Park Place Behavioral Health Care-PATH Referral Placeholder:OT,1014,Other
,Public Defender Social Services Offices,Public Defender Social Services Offices Orange & Osceola Counties-Client Services:OTH,991,Other
,The Christian Sharing Center,The Christian Sharing Center-Project RISE Workforce Development:OT,1156,Other
,Aspire Health Partners,Aspire Health Partners CENTAUR-HOPWA TBRA Vouchers:PSH,509,Permenant Supportive Housing - PSH
,Center for Multicultural Wellness & Prevention,Center for Multicultural Wellness & Prevention-HOPWA TBRA Vouchers:PSH,497,Permenant Supportive Housing - PSH
,Community Assisted and Supported Living,Community Assisted and Supported Living-Fairlawn Village:PSH,1136,Permenant Supportive Housing - PSH
,Embrace Families Solutions,Embrace Families Solutions-Pathways to Home:PSH,642,Permenant Supportive Housing - PSH
,Homeless Services Network - Support Services,Homeless Services Network-HOPWA TBRA Vouchers:PSH,912,Permenant Supportive Housing - PSH
,Homeless Services Network - Support Services,Homeless Services Network-HUD Leasing:PSH,893,Permenant Supportive Housing - PSH
,Homeless Services Network - Support Services,Homeless Services Network-HUD Rental Assistance & Services:PSH,889,Permenant Supportive Housing - PSH
,Homeless Services Network - Support Services,Homeless Services Network-ORL Relocation Assistance:PSH,868,Permenant Supportive Housing - PSH
,Homeless Services Network - Support Services,Homeless Services Network-ORL Rental Assistance:PSH,869,Permenant Supportive Housing - PSH
,Miracle of Love,Miracle of Love-HOPWA TBRA Vouchers:PSH,489,Permenant Supportive Housing - PSH
,Orange County,Orange County-ORN Shelter Plus Care:PSH,387,Permenant Supportive Housing - PSH
,Orlando Veterans Administration,Orlando Veterans Administration-HUD VASH Vouchers:PSH,660,Permenant Supportive Housing - PSH
,Osceola County,Osceola County Human Services-ShelterPlus Care 1:PSH,717,Permenant Supportive Housing - PSH
,Pathlight Home Grand Ave EDC,Pathlight Home Grand Ave EDC-Homes for New Beginnings:PSH,181,Permenant Supportive Housing - PSH
,Pathlight Home Grand Ave EDC,Pathlight Home Grand Ave EDC-Restore Housing 1:PSH,797,Permenant Supportive Housing - PSH
,Pathlight Home Grand Ave EDC,Pathlight Home Grand Ave EDC-Restore Housing 2:PSH,823,Permenant Supportive Housing - PSH
,Pathlight Home Grand Ave EDC,Pathlight Home Grand Ave EDC-SEM Housing & Supportive Services:PSH,1077,Permenant Supportive Housing - PSH
,Pathlight Home Grand Ave EDC,Pathlight Home Grand Ave EDC-SH at Maxwell Garden Apartments:PSH,401,Permenant Supportive Housing - PSH
,Seminole County,Seminole County-SEM Shelter Plus Care:PSH,385,Permenant Supportive Housing - PSH
,Wayne Densch Center,Wayne Densch Center-PSH Housing:PSH,741,Permenant Supportive Housing - PSH
,Catholic Charities,Catholic Charities-DCF ESG-CV Housing & Supportive Services:RRH,1068,Rapid Re-housing - RRH
,Catholic Charities,Catholic Charities-HUD II Housing & Support Services:RRH,1146,Rapid Re-housing - RRH
,Catholic Charities,Catholic Charities-ORN ESG-CV Housing & Supportive Services:RRH,1059,Rapid Re-housing - RRH
,Catholic Charities,Catholic Charities-ORN ESG:RRH,1008,Rapid Re-housing - RRH
,Catholic Charities,Catholic Charities-ORN Housing & Support Services:RRH,1098,Rapid Re-housing - RRH
,Christian Service Center of Central Florida,Christian Service Center-DCF ESG-CV Housing & Supportive Services:RRH,1072,Rapid Re-housing - RRH
,Christian Service Center of Central Florida,Christian Service Center-Orange County-ESG-CV Housing & Supportive Services:RRH,1152,Rapid Re-housing - RRH
,Christian Service Center of Central Florida,Christian Service Center-ORL ESG-CV Housing & Supportive Services:RRH,1042,Rapid Re-housing - RRH
,Coalition for the Homeless,Coalition for the Homeless-City of Orlando-ESG-CV Housing & Services:RRH,1078,Rapid Re-housing - RRH
,Coalition for the Homeless,Coalition for the Homeless-DCF ESG-CV Housing & Support Services:RRH,1114,Rapid Re-housing - RRH
,Coalition for the Homeless,Coalition for the Homeless-HUD II Housing & Support Services:RRH,1131,Rapid Re-housing - RRH
,Coalition for the Homeless,Coalition for the Homeless-Orange County-ESG-CV Housing & Services:RRH,1056,Rapid Re-housing - RRH
,Coalition for the Homeless,Coalition for the Homeless-ORN Housing & Support Services:RRH,1099,Rapid Re-housing - RRH
,Coalition for the Homeless,Coalition for the Homeless-ORN SHIP:RRH,1041,Rapid Re-housing - RRH
,Community Hope Center of Osceola County,Community Hope Center-DCF ESG-CV Housing & Supportive Services:RRH,1066,Rapid Re-housing - RRH
,Community Hope Center of Osceola County,Community Hope Center-HUD II Housing & Support Services:RRH,1130,Rapid Re-housing - RRH
,Community Hope Center of Osceola County,Community Hope Center-ORN ESG-CV Housing & Supportive Services:RRH,1073,Rapid Re-housing - RRH
,Embrace Families Solutions,Embrace Families Solutions-Child Welfare Freedom First RRH,1169,Rapid Re-housing - RRH
,Embrace Families Solutions,Embrace Families Solutions-HUD I Housing & Support Services:RRH,1128,Rapid Re-housing - RRH
,Embrace Families Solutions,Embrace Families Solutions-HUD II Housing & Support Services:RRH,1132,Rapid Re-housing - RRH
,Embrace Families Solutions,Embrace Families Solutions-ORN Housing & Support Services:RRH,1100,Rapid Re-housing - RRH
,Embrace Families Solutions,Embrace Families Solutions-SEM CDBG Pathways to Home:RRH,947,Rapid Re-housing - RRH
,Embrace Families Solutions,Embrace Families Solutions-SEM ESG Pathways to Home:RRH,566,Rapid Re-housing - RRH
,Embrace Families Solutions,Embrace Families Solutions-SEM ESG-CV Pathways to Home:RRH,1048,Rapid Re-housing - RRH
,Family Promise of Greater Orlando,Family Promise-DCF ESG-CV RRH Housing & Services:RRH,1069,Rapid Re-housing - RRH
,Family Promise of Greater Orlando,Family Promise-HUD I Housing & Support Services:RRH,1144,Rapid Re-housing - RRH
,Family Promise of Greater Orlando,Family Promise-HUD II Housing & Support Services:RRH,1145,Rapid Re-housing - RRH
,Family Promise of Greater Orlando,Family Promise-ORL ESG RRH Housing & Services:RRH,816,Rapid Re-housing - RRH
,Family Promise of Greater Orlando,Family Promise-ORL ESG-CV RRH Housing & Services:RRH,1052,Rapid Re-housing - RRH
,Family Promise of Greater Orlando,Family Promise-ORN Housing & Support Services:RRH,1101,Rapid Re-housing - RRH
,Homeless Services Network - Support Services,Homeless Services Network-DCF ESG-CV Housing & Supportive Services:RRH,1064,Rapid Re-housing - RRH
,Homeless Services Network - Support Services,Homeless Services Network-HUD Bundle I:RRH,891,Rapid Re-housing - RRH
,Homeless Services Network - Support Services,Homeless Services Network-HUD Bundle II:RRH,892,Rapid Re-housing - RRH
,Homeless Services Network - Support Services,Homeless Services Network-ORN ESG-CV Housing & Supportive Services:RRH,1049,Rapid Re-housing - RRH
,Homeless Services Network - Support Services,Homeless Services Network-ORN Housing:RRH,870,Rapid Re-housing - RRH
,Aspire Health Partners,Homeless Services Network-SSVF ORN AspireHP 2018 P2:RRH,787,Rapid Re-housing - RRH
,Aspire Health Partners,Homeless Services Network-SSVF SEM AspireHP 2018 P2:RRH,794,Rapid Re-housing - RRH
,The Transition House,Homeless Services Network-SSVF TTHI 2018 P2:RRH,792,Rapid Re-housing - RRH
,IMPOWER,IMPOWER-DCF ESG-CV RRH Housing & Services:RRH,1070,Rapid Re-housing - RRH
,IMPOWER,IMPOWER-Youth Families-RRH Housing & Services,1171,Rapid Re-housing - RRH
,IMPOWER,IMPOWER-Youth RRH Housing & Services,1170,Rapid Re-housing - RRH
,Miracle of Love,Miracle of Love-ORN ESG-CV Housing & Supportive Services:RRH,1058,Rapid Re-housing - RRH
,Miracle of Love,Miracle of Love-ORN Housing & Supportive Services:RRH,1054,Rapid Re-housing - RRH
,Miracle of Love,Miracle of Love-RRH Housing & Supportive Services,1172,Rapid Re-housing - RRH
,Osceola County,Osceola County Human Services-DCF ESG:RRH,922,Rapid Re-housing - RRH
,Osceola County,Osceola County-HUD ESG:RRH,1017,Rapid Re-housing - RRH
,Osceola County,Osceola County-HUD II Housing & Support Services:RRH,1147,Rapid Re-housing - RRH
,Samaritan Resource Center,Samaritan Resource Center-DCF ESG-CV Housing & Supportive Services:RRH,1055,Rapid Re-housing - RRH
,Seminole County,Seminole County-DCF ESG:RRH,921,Rapid Re-housing - RRH
,Seminole County,Seminole County-HUD I Housing & Support Services:RRH,1126,Rapid Re-housing - RRH
,Seminole County,Seminole County-SEM ESG-CV Housing:RRH,1053,Rapid Re-housing - RRH
,The Christian Sharing Center,The Christian Sharing Center-DCF ESG-CV Housing & Supportive Services:RRH,1067,Rapid Re-housing - RRH
,The Christian Sharing Center,The Christian Sharing Center-SEM RRH: RRH,758,Rapid Re-housing - RRH
,Zebra Coalition,Zebra Coalition-HUD I Housing & Support Services:RRH,1129,Rapid Re-housing - RRH
,Homeless Service Network of Central Florida,City of Orlando-Orlando Housing Authority EHV Placements:PH-H,1159,PH – Housing Only
,City of Orlando,City of Orlando-Orlando Housing Authority Placements PHA:PH-H,987,PH – Housing Only
,City of Orlando,City of Orlando-Pendana Housing Placements:PH,989,PH – Housing Only
,Orange County,Orange County-Housing & Community Development PHA:PH-H,1118,PH – Housing Only
,Osceola County,Osceola County-Osceola Housing Authority PHA:PH-H,1119,PH – Housing Only
,Seminole County,Seminole County-SEM Housing Authority:PH,1057,PH – Housing Only
,Pathlight Home Grand Ave EDC,Pathlight Home Grand Ave EDC-Maxwell Garden Apartments:PH-S,625,PH – Housing with Services (no disability required for entry)
,Pathlight Home Grand Ave EDC,Pathlight Home Grand Ave EDC-Maxwell Terrace Apartments:PH-S,180,PH – Housing with Services (no disability required for entry)
,A Joint Vision,A Joint Vision-PSH/RRH Supportive Services:SSO,1033,Services Only
,Aspire Health Partners,Aspire Health Partners Lakeside Behavioral Heathcare-PATH Services:SSO,919,Services Only
,Aspire Health Partners,Aspire Health Partners Seminole Behavioral Health-Crisis Stabilization Unit:SSO,258,Services Only
,Aspire Health Partners,Aspire Health Partners Seminole Behavioral Health-PATH Services:SSO,930,Services Only
,Aspire Health Partners,Aspire Health Partners Seminole Behavioral Health-SEM PSH Supportive Services:SSO,952,Services Only
,Aspire Health Partners,Aspire Health Partners-ORN Care Coordination:SSO,1046,Services Only
,Aspire Health Partners,Aspire Health Partners-ORN Pre-Committment Diversion Services:SSO,1148,Services Only
,Aspire Health Partners,Aspire Health Partners-PSH Support Services:SSO,880,Services Only
,Catholic Charities,Catholic Charities-Navigation Services:SSO,876,Services Only
,Catholic Charities,Catholic Charities-ORN RRH Support Services:SSO,853,Services Only
,Christian Service Center of Central Florida,Christian Service Center-Ocoee Supportive Services:SSO,1087,Services Only
,Christian Service Center of Central Florida,Christian Service Center-Orlando Supportive Services:SSO,1086,Services Only
,Christian Service Center of Central Florida,Christian Service Center-ORN PSH Supportive Services:SSO,1151,Services Only
,Christian Service Center of Central Florida,Christian Service Center-Winter Park Supportive Services:SSO,1088,Services Only
,Church and Community Assistance Program,Church and Community Assistance Program-Client Services:OT,1139,Services Only
,Coalition for the Homeless,Coalition for the Homeless-Community Health Initiative:SSO,972,Services Only
,Community Hope Center of Osceola County,Community Hope Center-Support Services:SSO,736,Services Only
,Community Legal Services of Mid-Florida,Community Legal Services of Mid-Florida-SOAR Support Services:SSO,942,Services Only
,Community Legal Services of Mid-Florida,Community Legal Services of Mid-Florida-Veteran Advocacy:SSO,136,Services Only
,Covenant House,Covenant House-Aftercare Supportive Services:SSO,1037,Services Only
,Covenant House,Covenant House-Case Management Outreach:SSO,197,Services Only
,Covenant House,Covenant House-Drop In Center:SSO,691,Services Only
,Covenant House,Covenant House-Youth Empowerment Services:SSO,1026,Services Only
,Family Promise of Greater Orlando,Family Promise-ORN Navigator:SSO,874,Services Only
,First Presbyterian Church of Orlando,First Presbyterian Church of Orlando-Compassion Corner:SSO,422,Services Only
,Health Care Center for the Homeless,Health Care Center for the Homeless-Family Health:SSO,914,Services Only
,Health Care Center for the Homeless,Health Care Center for the Homeless-ORN PSH Impact Fund:SSO,824,Services Only
,Health Care Center for the Homeless,Health Care Center for the Homeless-ORN PSH Supportive Services:SSO,1163,Services Only
,Health Care Center for the Homeless,Health Care Center for the Homeless-OSC PSH Impact Fund:SSO,994,Services Only
,Health Care Center for the Homeless,Health Care Center for the Homeless-PSH Supportive Services:SSO,906,Services Only
,Health Care Center for the Homeless,Health Care Center for the Homeless-SEM PSH Impact Fund:SSO,995,Services Only
,Health Council of East Central Florida,Health Council of East Central Florida-Healthcare Support Services:SSO,844,Services Only
,Heart of Florida United Way,Heart of Florida United Way-Community Stewardship:SSO,560,Services Only
,Heart of Florida United Way,Heart of Florida United Way-Veteran Services:SSO,978,Services Only
,Homeless Services Network - Support Services,Homeless Services Network-PSH TBRA Services:SSO,943,Services Only
,Homeless Services Network - Support Services,Homeless Services Network-SSVF Ineligible P2,700,Services Only
,HOPE Helps,HOPE Helps-Supportive Services:SSO,725,Services Only
,IDignity,Idignity-ORN Supportive Services:SSO,682,Services Only
,IDignity,Idignity-OSC Supportive Services:SSO,686,Services Only
,IDignity,Idignity-PSH Supportive Services:SSO,905,Services Only
,IDignity,Idignity-SEM Supportive Services:SSO,683,Services Only
,IMPOWER,IMPOWER-Permanency and Extended Support Services:SSO,985,Services Only
,zz-Jewish Family Services,Jewish Family Services-Supportive Services:SSO,561,Services Only
,Osceola County,Osceola County Human Services-Housing Navigator Services:CES,976,Services Only
,Park Place Behavioral Health Care,Park Place Behavioral Health Care-PATH Supportive Services: SSO,928,Services Only
,Pathlight Home Grand Ave EDC,Pathlight Home Grand Ave EDC-Employment Center (COVID):SSO,1076,Services Only
,Pathlight Home Grand Ave EDC,Pathlight Home Grand Ave EDC-ORL CDBG Services:SSO,1022,Services Only
,Pathlight Home Grand Ave EDC,Pathlight Home Grand Ave EDC-Restore Community Services:SSO,1002,Services Only
,Pathway Homes of Florida,Pathway Homes of Florida-Move On Supportive Services:SSO,1121,Services Only
,Pathway Homes of Florida,Pathway Homes of Florida-ORL PSH Supportive Services:SSO,951,Services Only
,Pathway Homes of Florida,Pathway Homes of Florida-ORN PSH Impact Fund Supportive Services:SSO,897,Services Only
,Pathway Homes of Florida,Pathway Homes of Florida-ORN PSH Supportive Services:SSO,1162,Services Only
,Pathway Homes of Florida,Pathway Homes of Florida-OSC PSH Impact Fund Supportive Services:SSO,996,Services Only
,Pathway Homes of Florida,Pathway Homes of Florida-SEM PSH Impact Fund Supportive Services:SSO,997,Services Only
,Recovery House,Recovery House-EFSP Project:SSO,1007,Services Only
,Recovery House,Recovery House-Outpatient Support Services:SSO,822,Services Only
,Rescue Outreach Mission,Rescue Outreach Mission-RRH Supportive Services: SSO,899,Services Only
,SALT Outreach Inc.,SALT Outreach-ORN PSH Supportive Services:SSO,1161,Services Only
,Salvation Army,Salvation Army-Supportive Services:SSO,580,Services Only
,Samaritan Resource Center,Samaritan Resource Center-Drop-in Center:SSO,646,Services Only
,Samaritan Resource Center,Samaritan Resource Center-ORN PSH Supportive Services:SSO,1160,Services Only
,Aspire Health Partners,SEM Targeted Community Street Outreach,1164,Services Only
,Aspire Health Partners,Seminole Behavioral Heathcare-Forensic Services,984,Services Only
,Simply Healthcare,Simply Healthcare-Supportive Services:SSO,1024,Services Only
,Step Up on Second,Step Up on Second-PSH Supportive Services:SSO,1031,Services Only
,The Christian Sharing Center,The Christian Sharing Center-Longwood Facility:SSO,687,Services Only
,The Christian Sharing Center,The Christian Sharing Center-Oasis Walk-In Center:SSO,639,Services Only
,The Mustard Seed,The Mustard Seed-Supportive Services:SSO,927,Services Only
,The Transition House,The Transition House-SOAR Navigation:SSO,977,Services Only
,The Transition House,The Transition House-Veteran Case Management:SSO,1020,Services Only
,United Against Poverty,United Against Poverty-CDBG Education Project:SSO,1095,Services Only
,United Against Poverty,United Against Poverty-Stabilzation Services:SSO,711,Services Only
,United Against Poverty,United Against Poverty-Workforce Development:SSO,983,Services Only
,Wayne Densch Center,Wayne Densch Center-Case Management Services at Gannet Pointe:SSO,1089,Services Only
,Wayne Densch Center,Wayne Densch Center-Case Management Services at Mercy Village:SSO,1010,Services Only
,Wayne Densch Center,Wayne Densch Center-Case Management Services:SSO,1001,Services Only
,Zebra Coalition,Zebra Coalition-Drop-In Center Services:SSO,1103,Services Only
,Aspire Health Partners,Aspire Health Partners Lakeside Behavioral Heathcare-PATH Street Outreach:SO,285,Street Outreach - SO
,Aspire Health Partners,Aspire Health Partners Seminole Behavioral Health-PATH Street Outreach:SO,533,Street Outreach - SO
,Aspire Health Partners,Aspire Health Partners Seminole Behavioral Health-SEM HOPE Team Street Outreach:SO,532,Street Outreach - SO
,Catholic Charities,Catholic Charities-DCF ESG-CV Street Outreach:SO,1116,Street Outreach - SO
,Christian Service Center of Central Florida,Christian Service Center-DCF ESG-CV Street Outreach:SO,1115,Street Outreach - SO
,Coalition for the Homeless,Coalition for the Homeless-Community Outreach:SO,1105,Street Outreach - SO
,Coalition for the Homeless,Coalition for the Homeless-DCF ESG-CV Street Outreach:SO,1117,Street Outreach - SO
,Community Hope Center of Osceola County,Community Hope Center-Street Outreach:SO,915,Street Outreach - SO
,Covenant House,Covenant House-Street Outreach:SO,690,Street Outreach - SO
,Health Care Center for the Homeless,Health Care Center for the Homeless-DCF ESG-CV Street Outreach:SO,1081,Street Outreach - SO
,Health Care Center for the Homeless,Health Care Center for the Homeless-Mobile Medical Unit:SO,739,Street Outreach - SO
,Health Care Center for the Homeless,Health Care Center for the Homeless-ORL HOPE Team DDB:SO,737,Street Outreach - SO
,Health Care Center for the Homeless,Health Care Center for the Homeless-ORL SHP HOPE Team:SO,191,Street Outreach - SO
,Health Care Center for the Homeless,Health Care Center for the Homeless-OSC SHP HOPE Team:SO,667,Street Outreach - SO
,Homeless Service Network of Central Florida,Homeless Services Network-SSVF ORL HCCH Outreach 2018:SO,807,Street Outreach - SO
,Park Place Behavioral Health Care,Park Place Behavioral Health Care-PATH Street Outreach:SO,734,Street Outreach - SO
,SALT Outreach Inc.,SALT Outreach-DCF ESG-CV Street Outreach:SO,1113,Street Outreach - SO
,SALT Outreach Inc.,SALT Outreach-ORL ESG-CV Street Outreach:SO,1025,Street Outreach - SO
,SALT Outreach Inc.,SALT Outreach-SEM ESG Street Outreach:SO,1157,Street Outreach - SO
,Samaritan Resource Center,Samaritan Resource Center-DCF ESG-CV Street Outreach:SO,1112,Street Outreach - SO
,Step Up on Second,Step Up on Second-DCF ESG-CV Street Outreach:SO,1082,Street Outreach - SO
,Step Up on Second,Step Up on Second-ORN Street Outreach,1174,Street Outreach - SO
,The Christian Sharing Center,The Christian Sharing Center-SEM ESG-CV Street Outreach:SO,1111,Street Outreach - SO
,Aspire Health Partners,Aspire Health Partners CENTAUR-HOPWA Long Term Housing:TH,510,Transitional Housing - TH
,Aspire Health Partners,Aspire Health Partners-Anchor:TH,503,Transitional Housing - TH
,Aspire Health Partners,Aspire Health Partners-Veterans Grant Per Diem:TH,537,Transitional Housing - TH
,Catholic Charities,Catholic Charities Pathways to Care-HOPWA Long Term Housing-Step 2:TH,934,Transitional Housing - TH
,Catholic Charities,Catholic Charities Pathways to Care-HOPWA Long Term Housing:TH,933,Transitional Housing - TH
,Center for Multicultural Wellness & Prevention,Center for Multicultural Wellness & Prevention-HOPWA Long Term Housing:TH,515,Transitional Housing - TH
,Covenant House,Covenant House-Rights of Passage:TH,196,Transitional Housing - TH
,Harbor House,Harbor House-Extended Stay Housing:TH,1096,Transitional Housing - TH
,IMPOWER,IMPOWER-Transitional Housing:TH,477,Transitional Housing - TH
,LifeStream Behavioral Health Center,LifeStream Behavioral Health Center-Anthony House:TH,696,Transitional Housing - TH
